shared name	FOLDCHANGE	PVALUE
AT2G26780 (REPRESSED:PCHX) AT5G07680	-0.3	7.7E-02
AT2G27120 (REPRESSED:PCHX) AT5G07680	-0.3	5.4E-02
AT2G27150 (REPRESSED:PCHX) AT5G07680	-0.4	1.2E-03
AT2G27190 (REPRESSED:PCHX) AT5G07680	-0.4	2.8E-02
AT2G27530 (INDUCED:PCHX) AT5G07680	0.3	7.0E-02
AT2G27710 (INDUCED:PCHX) AT5G07680	0.7	3.3E-06
AT2G27720 (INDUCED:PCHX) AT5G07680	0.7	1.6E-05
AT2G27840 (INDUCED:PCHX) AT5G07680	0.8	2.0E-04
AT2G28200 (INDUCED:PCHX) AT5G07680	0.6	4.8E-04
AT2G28290 (REPRESSED:PCHX) AT5G07680	-0.4	4.2E-02
AT2G28570 (INDUCED:PCHX) AT5G07680	0.4	2.5E-04
AT2G28810 (REPRESSED:PCHX) AT5G07680	-0.4	7.9E-02
AT2G28890 (REPRESSED:PCHX) AT5G07680	-0.6	2.0E-02
AT2G29380 (INDUCED:PCHX) AT5G07680	0.3	3.8E-02
AT2G30000 (INDUCED:PCHX) AT5G07680	0.6	4.9E-02
AT2G30040 (INDUCED:PCHX) AT5G07680	0.3	8.5E-02
AT2G31200 (INDUCED:PCHX) AT5G07680	0.4	4.8E-02
AT2G31210 (INDUCED:PCHX) AT5G07680	0.4	9.7E-02
AT2G31410 (INDUCED:PCHX) AT5G07680	0.4	2.9E-02
AT2G31945 (INDUCED:PCHX) AT5G07680	0.8	2.7E-04
AT2G31960 (REPRESSED:PCHX) AT5G07680	-0.6	5.8E-05
AT2G32060 (INDUCED:PCHX) AT5G07680	0.5	3.0E-02
AT2G32070 (INDUCED:PCHX) AT5G07680	0.5	3.0E-02
AT2G32160 (REPRESSED:PCHX) AT5G07680	-0.5	1.6E-02
AT2G32810 (REPRESSED:PCHX) AT5G07680	-0.4	1.8E-02
AT2G33370 (INDUCED:PCHX) AT5G07680	0.4	5.9E-02
AT2G33480 (INDUCED:PCHX) AT5G07680	0.7	1.9E-02
AT2G33540 (REPRESSED:PCHX) AT5G07680	-0.4	2.8E-02
AT2G34340 (INDUCED:PCHX) AT5G07680	0.4	6.2E-02
AT2G34480 (INDUCED:PCHX) AT5G07680	0.5	2.6E-04
AT2G34520 (INDUCED:PCHX) AT5G07680	0.5	8.1E-02
AT2G34680 (REPRESSED:PCHX) AT5G07680	-0.5	2.3E-03
AT2G35050 (REPRESSED:PCHX) AT5G07680	-0.5	4.0E-03
AT2G35110 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT2G35610 (REPRESSED:PCHX) AT5G07680	-0.4	4.8E-02
AT2G35900 (INDUCED:PCHX) AT5G07680	0.4	1.0E-01
AT2G35990 (INDUCED:PCHX) AT5G07680	0.5	6.0E-02
AT2G36100 (REPRESSED:PCHX) AT5G07680	-0.9	2.2E-04
AT2G36160 (INDUCED:PCHX) AT5G07680	0.5	4.5E-04
AT2G36170 (INDUCED:PCHX) AT5G07680	0.5	1.6E-02
AT2G36220 (INDUCED:PCHX) AT5G07680	0.4	9.6E-03
AT2G36620 (INDUCED:PCHX) AT5G07680	0.8	7.5E-05
AT2G36810 (REPRESSED:PCHX) AT5G07680	-0.3	4.8E-02
AT2G36930 (INDUCED:PCHX) AT5G07680	0.5	1.2E-02
AT2G37190 (INDUCED:PCHX) AT5G07680	0.8	1.4E-04
AT2G37280 (REPRESSED:PCHX) AT5G07680	-0.5	8.2E-03
AT2G37470 (INDUCED:PCHX) AT5G07680	0.4	1.8E-02
AT2G38480 (INDUCED:PCHX) AT5G07680	0.4	9.8E-02
AT2G38730 (INDUCED:PCHX) AT5G07680	0.4	7.5E-02
AT2G38830 (INDUCED:PCHX) AT5G07680	0.5	1.6E-02
AT2G38970 (REPRESSED:PCHX) AT5G07680	-0.7	1.0E-02
AT2G39110 (INDUCED:PCHX) AT5G07680	0.4	2.3E-03
AT2G39460 (INDUCED:PCHX) AT5G07680	0.3	7.5E-02
AT2G39750 (REPRESSED:PCHX) AT5G07680	-0.4	7.6E-02
AT2G39890 (INDUCED:PCHX) AT5G07680	0.4	8.2E-02
AT2G40140 (INDUCED:PCHX) AT5G07680	0.3	2.9E-02
AT2G40170 (INDUCED:PCHX) AT5G07680	0.6	5.3E-02
AT2G40430 (INDUCED:PCHX) AT5G07680	0.4	1.5E-02
AT2G40730 (REPRESSED:PCHX) AT5G07680	-0.3	9.2E-02
AT2G40840 (REPRESSED:PCHX) AT5G07680	-0.4	3.0E-02
AT2G41410 (INDUCED:PCHX) AT5G07680	0.3	2.8E-02
AT2G41430 (INDUCED:PCHX) AT5G07680	0.3	1.3E-02
AT2G41630 (INDUCED:PCHX) AT5G07680	0.5	1.1E-03
AT2G41650 (INDUCED:PCHX) AT5G07680	0.5	8.8E-03
AT2G41680 (REPRESSED:PCHX) AT5G07680	-0.4	7.9E-02
AT2G41700 (REPRESSED:PCHX) AT5G07680	-0.3	8.8E-02
AT2G41770 (REPRESSED:PCHX) AT5G07680	-0.4	6.2E-02
