shared name	FOLDCHANGE	PVALUE
AT1G02330 (INDUCED:PCHX) AT5G62020	0.8	8.1E-05
AT1G02340 (INDUCED:PCHX) AT2G22200	1.6	4.0E-05
AT1G02340 (INDUCED:PCHX) AT2G22430	0.8	1.6E-02
AT1G02340 (INDUCED:PCHX) AT5G62020	1.1	3.6E-02
AT1G02360 (REPRESSED:PCHX) AT1G25550	-0.4	2.5E-04
AT1G02360 (REPRESSED:PCHX) AT1G66140	-0.5	1.3E-02
AT1G02360 (REPRESSED:PCHX) AT1G68670	-0.6	3.6E-03
AT1G02360 (REPRESSED:PCHX) AT2G22200	-0.6	5.8E-04
AT1G02360 (REPRESSED:PCHX) AT2G22430	-0.9	4.3E-20
AT1G02360 (REPRESSED:PCHX) AT2G39250	-0.6	3.1E-12
AT1G02360 (REPRESSED:PCHX) AT3G17609	-0.9	6.2E-19
AT1G02360 (REPRESSED:PCHX) AT4G16141	-0.7	1.6E-11
AT1G02360 (REPRESSED:PCHX) AT4G36540	-0.4	2.5E-05
AT1G02360 (REPRESSED:PCHX) AT4G39780	-0.4	4.0E-02
AT1G02360 (REPRESSED:PCHX) AT5G10970	-0.9	9.4E-08
AT1G02360 (REPRESSED:PCHX) AT5G15830	-0.7	1.2E-04
AT1G02360 (REPRESSED:PCHX) AT5G49450	-0.4	1.4E-02
AT1G02360 (REPRESSED:PCHX) AT5G57660	-0.7	1.0E-08
AT1G02360 (REPRESSED:PCHX) AT5G62020	-1.0	1.3E-09
AT1G02360 (REPRESSED:PCHX) AT5G65210	-0.5	1.4E-04
AT1G02370 (INDUCED:PCHX) AT5G10970	0.7	9.7E-03
AT1G02370 (INDUCED:PCHX) AT5G15830	0.8	7.2E-03
AT1G02400 (REPRESSED:PCHX) AT1G25550	-0.4	1.4E-04
AT1G02400 (REPRESSED:PCHX) AT1G66140	-0.9	6.6E-16
AT1G02400 (REPRESSED:PCHX) AT1G68670	-0.6	1.8E-08
AT1G02400 (REPRESSED:PCHX) AT2G22200	-0.4	4.0E-04
AT1G02400 (REPRESSED:PCHX) AT2G33550	-0.4	3.8E-03
AT1G02400 (REPRESSED:PCHX) AT3G16870	-0.8	1.8E-12
AT1G02400 (REPRESSED:PCHX) AT3G17609	-0.2	8.5E-02
AT1G02400 (REPRESSED:PCHX) AT3G49940	-0.4	5.2E-04
AT1G02400 (REPRESSED:PCHX) AT4G16141	-0.3	1.6E-02
AT1G02400 (REPRESSED:PCHX) AT5G10030	-0.3	3.9E-02
AT1G02400 (REPRESSED:PCHX) AT5G10970	-0.8	6.2E-14
AT1G02400 (REPRESSED:PCHX) AT5G15830	-0.6	3.1E-06
AT1G02400 (REPRESSED:PCHX) AT5G49450	-0.4	1.9E-03
AT1G02400 (REPRESSED:PCHX) AT5G57660	-0.3	4.7E-02
AT1G02400 (REPRESSED:PCHX) AT5G62020	-0.8	1.7E-12
AT1G02400 (REPRESSED:PCHX) AT5G62430	-0.5	5.7E-06
AT1G02400 (REPRESSED:PCHX) AT5G65210	-0.5	2.2E-09
AT1G02420 (INDUCED:PCHX) AT2G22200	0.9	4.2E-02
AT1G02470 (REPRESSED:PCHX) AT5G65210	-0.8	5.9E-02
AT1G02540 (REPRESSED:PCHX) AT5G62020	-0.9	6.9E-02
AT1G02540 (INDUCED:PCHX) AT5G65210	1.2	7.2E-05
AT1G02560 (INDUCED:PCHX) AT2G22200	0.7	6.7E-07
AT1G02560 (REPRESSED:PCHX) AT2G22430	-0.2	6.3E-02
AT1G02560 (REPRESSED:PCHX) AT2G39250	-0.3	2.3E-02
AT1G02560 (INDUCED:PCHX) AT4G39780	0.7	2.9E-08
AT1G02670 (INDUCED:PCHX) AT2G22200	0.6	1.5E-02
AT1G02670 (INDUCED:PCHX) AT3G49940	0.6	5.0E-02
AT1G02670 (INDUCED:PCHX) AT5G07680	0.7	8.8E-03
AT1G02670 (INDUCED:PCHX) AT5G15830	0.6	2.5E-02
AT1G02670 (INDUCED:PCHX) AT5G49450	1.4	6.4E-08
AT1G02670 (INDUCED:PCHX) AT5G62020	0.5	7.9E-02
AT1G02670 (INDUCED:PCHX) AT5G65210	1.5	2.3E-08
AT1G02690 (INDUCED:PCHX) AT5G10970	0.5	4.7E-02
AT1G02690 (INDUCED:PCHX) AT5G15830	0.6	1.5E-02
AT1G02740 (INDUCED:PCHX) AT5G10970	0.4	8.1E-02
AT1G02740 (INDUCED:PCHX) AT5G65210	0.4	6.2E-02
AT1G02750 (INDUCED:PCHX) AT1G66140	0.4	1.1E-02
AT1G02750 (INDUCED:PCHX) AT2G33550	0.4	2.2E-02
AT1G02750 (INDUCED:PCHX) AT5G07680	0.3	9.4E-02
AT1G02750 (INDUCED:PCHX) AT5G10970	0.5	8.9E-05
AT1G02750 (INDUCED:PCHX) AT5G62020	0.4	4.4E-02
AT1G02750 (INDUCED:PCHX) AT5G65210	0.4	5.8E-03
AT1G02780 (INDUCED:PCHX) AT4G27950	0.4	8.4E-04
AT1G02780 (INDUCED:PCHX) AT5G07680	0.3	3.3E-02
AT1G02780 (INDUCED:PCHX) AT5G10970	0.6	9.8E-07
AT1G02780 (INDUCED:PCHX) AT5G15830	0.4	8.0E-04
AT1G02780 (REPRESSED:PCHX) AT5G65210	-0.3	3.1E-02
AT1G02810 (INDUCED:PCHX) AT1G25550	0.5	3.9E-05
AT1G02810 (INDUCED:PCHX) AT1G66140	1.0	2.4E-15
AT1G02810 (INDUCED:PCHX) AT1G68670	1.3	6.7E-31
